"ID","Perioden","AlgemeneOuderdomswetAOW_11"
"0","1995JJ00","15180"
"1","1996JJ00","15853"
"2","1997JJ00","16609"
"3","1998JJ00","17578"
"8","1999JJ00","18400"
"13","2000JJ00","19098"
"18","2001JJ00","20284"
"23","2002JJ00","21383"
"28","2003JJ00","22429"
"33","2004JJ00","22890"
"38","2005JJ00","23369"
"43","2006JJ00","24169"
"48","2007JJ00","25198"
"53","2008JJ00","26446"
"58","2009JJ00","27580"
"63","2010JJ00","28618"
"68","2011JJ00","29996"
"73","2012JJ00","31415"
"78","2013JJ00","32719"
"83","2014JJ00","34120"
"88","2015JJ00","35814"
"93","2016JJ00","36941"
"98","2017JJ00","37411"
