"ID";"RegioS";"Perioden";"GrijzeDruk_24"
"517";"CR01  ";"2019JJ00";"43.6"
"546";"CR02  ";"2019JJ00";"43.9"
"575";"CR03  ";"2019JJ00";"28.1"
"604";"CR04  ";"2019JJ00";"35.6"
"633";"CR05  ";"2019JJ00";"40.8"
"662";"CR06  ";"2019JJ00";"39.1"
"691";"CR07  ";"2019JJ00";"42"
"720";"CR08  ";"2019JJ00";"41.1"
"749";"CR09  ";"2019JJ00";"40.1"
"778";"CR10  ";"2019JJ00";"30.8"
"807";"CR11  ";"2019JJ00";"32.8"
"836";"CR12  ";"2019JJ00";"35.1"
"865";"CR13  ";"2019JJ00";"34.8"
"894";"CR14  ";"2019JJ00";"41.9"
"923";"CR15  ";"2019JJ00";"32"
"952";"CR16  ";"2019JJ00";"32.1"
"981";"CR17  ";"2019JJ00";"28.2"
"1010";"CR18  ";"2019JJ00";"37.4"
"1039";"CR19  ";"2019JJ00";"37.4"
"1068";"CR20  ";"2019JJ00";"35.8"
"1097";"CR21  ";"2019JJ00";"34.1"
"1126";"CR22  ";"2019JJ00";"31.5"
"1155";"CR23  ";"2019JJ00";"22.9"
"1184";"CR24  ";"2019JJ00";"38.7"
"1213";"CR25  ";"2019JJ00";"31.7"
"1242";"CR26  ";"2019JJ00";"27.5"
"1271";"CR27  ";"2019JJ00";"28.5"
"1300";"CR28  ";"2019JJ00";"33.9"
"1329";"CR29  ";"2019JJ00";"30"
"1358";"CR30  ";"2019JJ00";"34"
"1387";"CR31  ";"2019JJ00";"46"
"1416";"CR32  ";"2019JJ00";"40.7"
"1445";"CR33  ";"2019JJ00";"35.4"
"1474";"CR34  ";"2019JJ00";"32.6"
"1503";"CR35  ";"2019JJ00";"34.5"
"1532";"CR36  ";"2019JJ00";"33.4"
"1561";"CR37  ";"2019JJ00";"37.8"
"1590";"CR38  ";"2019JJ00";"40.9"
"1619";"CR39  ";"2019JJ00";"41.4"
"1648";"CR40  ";"2019JJ00";"22.7"
